# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# yN2 (vap)      P (bar)      
  6.9708578E-01  6.2403488E+00
  6.9754398E-01  6.2494612E+00
  6.9800063E-01  6.2585687E+00
  6.9845576E-01  6.2676712E+00
  6.9890935E-01  6.2767687E+00
  6.9936142E-01  6.2858612E+00
  6.9981198E-01  6.2949486E+00
  7.0026104E-01  6.3040311E+00
  7.0070860E-01  6.3131087E+00
  7.0115468E-01  6.3221812E+00
  7.0159927E-01  6.3312488E+00
  7.0204239E-01  6.3403114E+00
  7.0248405E-01  6.3493690E+00
  7.0292424E-01  6.3584217E+00
  7.0336299E-01  6.3674695E+00
  7.0380029E-01  6.3765123E+00
  7.0423616E-01  6.3855501E+00
  7.0467060E-01  6.3945831E+00
  7.0510361E-01  6.4036111E+00
  7.0553522E-01  6.4126341E+00
  7.0596541E-01  6.4216523E+00
  7.0639421E-01  6.4306655E+00
  7.0682161E-01  6.4396739E+00
  7.0724763E-01  6.4486773E+00
  7.0767227E-01  6.4576758E+00
  7.0809554E-01  6.4666694E+00
  7.0851745E-01  6.4756582E+00
  7.0893799E-01  6.4846420E+00
  7.0935719E-01  6.4936210E+00
  7.0977504E-01  6.5025951E+00
  7.1019155E-01  6.5115644E+00
  7.1060673E-01  6.5205287E+00
  7.1102059E-01  6.5294883E+00
  7.1143312E-01  6.5384429E+00
  7.1184435E-01  6.5473927E+00
  7.1225428E-01  6.5563377E+00
  7.1266290E-01  6.5652778E+00
  7.1307023E-01  6.5742131E+00
  7.1347628E-01  6.5831436E+00
  7.1388105E-01  6.5920692E+00
  7.1428454E-01  6.6009901E+00
  7.1468677E-01  6.6099061E+00
  7.1508773E-01  6.6188173E+00
  7.1548745E-01  6.6277237E+00
  7.1588591E-01  6.6366253E+00
  7.1628313E-01  6.6455221E+00
  7.1667912E-01  6.6544141E+00
  7.1707387E-01  6.6633013E+00
  7.1746740E-01  6.6721838E+00
  7.1785972E-01  6.6810615E+00
  7.1825082E-01  6.6899344E+00
  7.1864071E-01  6.6988025E+00
  7.1902940E-01  6.7076659E+00
  7.1941690E-01  6.7165246E+00
  7.1980321E-01  6.7253785E+00
  7.2018833E-01  6.7342276E+00
  7.2057228E-01  6.7430720E+00
  7.2095506E-01  6.7519117E+00
  7.2133666E-01  6.7607466E+00
  7.2171711E-01  6.7695768E+00
  7.2209640E-01  6.7784023E+00
  7.2247454E-01  6.7872231E+00
  7.2285154E-01  6.7960392E+00
  7.2322739E-01  6.8048506E+00
  7.2360212E-01  6.8136572E+00
  7.2397571E-01  6.8224592E+00
  7.2434818E-01  6.8312565E+00
  7.2471954E-01  6.8400491E+00
  7.2508978E-01  6.8488370E+00
  7.2545891E-01  6.8576203E+00
  7.2582694E-01  6.8663989E+00
  7.2619387E-01  6.8751728E+00
  7.2655972E-01  6.8839420E+00
  7.2692447E-01  6.8927066E+00
  7.2728814E-01  6.9014666E+00
  7.2765074E-01  6.9102219E+00
  7.2801226E-01  6.9189725E+00
  7.2837272E-01  6.9277185E+00
  7.2873212E-01  6.9364599E+00
  7.2909045E-01  6.9451967E+00
  7.2944774E-01  6.9539288E+00
  7.2980398E-01  6.9626564E+00
  7.3015918E-01  6.9713793E+00
  7.3051333E-01  6.9800976E+00
  7.3086646E-01  6.9888113E+00
  7.3121856E-01  6.9975204E+00
  7.3156963E-01  7.0062249E+00
  7.3191969E-01  7.0149249E+00
  7.3226873E-01  7.0236202E+00
  7.3261676E-01  7.0323110E+00
  7.3296379E-01  7.0409972E+00
  7.3330981E-01  7.0496788E+00
  7.3365484E-01  7.0583559E+00
  7.3399888E-01  7.0670284E+00
  7.3434193E-01  7.0756963E+00
  7.3468400E-01  7.0843598E+00
  7.3502510E-01  7.0930186E+00
  7.3536521E-01  7.1016729E+00
  7.3570436E-01  7.1103227E+00
  7.3604255E-01  7.1189680E+00
  7.3637977E-01  7.1276087E+00
  7.3671604E-01  7.1362449E+00
  7.3705135E-01  7.1448766E+00
  7.3738572E-01  7.1535038E+00
  7.3771914E-01  7.1621265E+00
  7.3805163E-01  7.1707447E+00
  7.3838318E-01  7.1793584E+00
  7.3871380E-01  7.1879676E+00
  7.3904349E-01  7.1965723E+00
  7.3937226E-01  7.2051725E+00
  7.3970011E-01  7.2137683E+00
  7.4002704E-01  7.2223596E+00
  7.4035307E-01  7.2309464E+00
  7.4067819E-01  7.2395287E+00
  7.4100240E-01  7.2481066E+00
  7.4132572E-01  7.2566801E+00
  7.4164814E-01  7.2652491E+00
  7.4196968E-01  7.2738136E+00
  7.4229032E-01  7.2823737E+00
  7.4261008E-01  7.2909294E+00
  7.4292897E-01  7.2994806E+00
  7.4324697E-01  7.3080275E+00
  7.4356411E-01  7.3165699E+00
  7.4388038E-01  7.3251078E+00
  7.4419578E-01  7.3336414E+00
  7.4451032E-01  7.3421706E+00
  7.4482401E-01  7.3506954E+00
  7.4513685E-01  7.3592157E+00
  7.4544883E-01  7.3677317E+00
  7.4575997E-01  7.3762433E+00
  7.4607027E-01  7.3847505E+00
  7.4637973E-01  7.3932534E+00
  7.4668835E-01  7.4017518E+00
  7.4699615E-01  7.4102459E+00
  7.4730311E-01  7.4187357E+00
  7.4760925E-01  7.4272210E+00
  7.4791458E-01  7.4357021E+00
  7.4821908E-01  7.4441787E+00
  7.4852277E-01  7.4526511E+00
  7.4882565E-01  7.4611190E+00
  7.4912773E-01  7.4695827E+00
  7.4942900E-01  7.4780420E+00
  7.4972947E-01  7.4864970E+00
  7.5002914E-01  7.4949477E+00
  7.5032802E-01  7.5033940E+00
  7.5062611E-01  7.5118361E+00
  7.5092342E-01  7.5202738E+00
  7.5121994E-01  7.5287073E+00
  7.5151568E-01  7.5371364E+00
  7.5181065E-01  7.5455613E+00
  7.5210484E-01  7.5539818E+00
  7.5239826E-01  7.5623981E+00
  7.5269092E-01  7.5708101E+00
  7.5298281E-01  7.5792178E+00
  7.5327394E-01  7.5876213E+00
  7.5356431E-01  7.5960204E+00
  7.5385393E-01  7.6044154E+00
  7.5414280E-01  7.6128060E+00
  7.5443092E-01  7.6211924E+00
  7.5471829E-01  7.6295746E+00
  7.5500493E-01  7.6379525E+00
  7.5529082E-01  7.6463262E+00
  7.5557598E-01  7.6546957E+00
  7.5586041E-01  7.6630609E+00
  7.5614410E-01  7.6714219E+00
  7.5642707E-01  7.6797787E+00
  7.5670932E-01  7.6881313E+00
  7.5699084E-01  7.6964797E+00
  7.5727165E-01  7.7048238E+00
  7.5755174E-01  7.7131638E+00
  7.5783112E-01  7.7214995E+00
  7.5810979E-01  7.7298311E+00
  7.5838776E-01  7.7381585E+00
  7.5866502E-01  7.7464817E+00
  7.5894158E-01  7.7548007E+00
  7.5921745E-01  7.7631155E+00
  7.5949261E-01  7.7714262E+00
  7.5976709E-01  7.7797327E+00
  7.6004088E-01  7.7880351E+00
  7.6031398E-01  7.7963333E+00
  7.6058640E-01  7.8046273E+00
  7.6085813E-01  7.8129172E+00
  7.6112919E-01  7.8212030E+00
  7.6139957E-01  7.8294846E+00
  7.6166928E-01  7.8377621E+00
  7.6193832E-01  7.8460355E+00
  7.6220670E-01  7.8543047E+00
  7.6247440E-01  7.8625699E+00
  7.6274145E-01  7.8708309E+00
  7.6300784E-01  7.8790878E+00
  7.6327356E-01  7.8873406E+00
