# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.7529887E-01  7.1879676E+00
  1.7563194E-01  7.1965723E+00
  1.7596502E-01  7.2051725E+00
  1.7629810E-01  7.2137683E+00
  1.7663118E-01  7.2223596E+00
  1.7696425E-01  7.2309464E+00
  1.7729733E-01  7.2395287E+00
  1.7763041E-01  7.2481066E+00
  1.7796349E-01  7.2566801E+00
  1.7829657E-01  7.2652491E+00
  1.7862964E-01  7.2738136E+00
  1.7896272E-01  7.2823737E+00
  1.7929580E-01  7.2909294E+00
  1.7962888E-01  7.2994806E+00
  1.7996195E-01  7.3080275E+00
  1.8029503E-01  7.3165699E+00
  1.8062811E-01  7.3251078E+00
  1.8096119E-01  7.3336414E+00
  1.8129426E-01  7.3421706E+00
  1.8162734E-01  7.3506954E+00
  1.8196042E-01  7.3592157E+00
  1.8229350E-01  7.3677317E+00
  1.8262658E-01  7.3762433E+00
  1.8295965E-01  7.3847505E+00
  1.8329273E-01  7.3932534E+00
  1.8362581E-01  7.4017518E+00
  1.8395889E-01  7.4102459E+00
  1.8429196E-01  7.4187357E+00
  1.8462504E-01  7.4272210E+00
  1.8495812E-01  7.4357021E+00
  1.8529120E-01  7.4441787E+00
  1.8562427E-01  7.4526511E+00
  1.8595735E-01  7.4611190E+00
  1.8629043E-01  7.4695827E+00
  1.8662351E-01  7.4780420E+00
  1.8695659E-01  7.4864970E+00
  1.8728966E-01  7.4949477E+00
  1.8762274E-01  7.5033940E+00
  1.8795582E-01  7.5118361E+00
  1.8828890E-01  7.5202738E+00
  1.8862197E-01  7.5287073E+00
  1.8895505E-01  7.5371364E+00
  1.8928813E-01  7.5455613E+00
  1.8962121E-01  7.5539818E+00
  1.8995428E-01  7.5623981E+00
  1.9028736E-01  7.5708101E+00
  1.9062044E-01  7.5792178E+00
  1.9095352E-01  7.5876213E+00
  1.9128660E-01  7.5960204E+00
  1.9161967E-01  7.6044154E+00
  1.9195275E-01  7.6128060E+00
  1.9228583E-01  7.6211924E+00
  1.9261891E-01  7.6295746E+00
  1.9295198E-01  7.6379525E+00
  1.9328506E-01  7.6463262E+00
  1.9361814E-01  7.6546957E+00
  1.9395122E-01  7.6630609E+00
  1.9428429E-01  7.6714219E+00
  1.9461737E-01  7.6797787E+00
  1.9495045E-01  7.6881313E+00
  1.9528353E-01  7.6964797E+00
  1.9561661E-01  7.7048238E+00
  1.9594968E-01  7.7131638E+00
  1.9628276E-01  7.7214995E+00
  1.9661584E-01  7.7298311E+00
  1.9694892E-01  7.7381585E+00
  1.9728199E-01  7.7464817E+00
  1.9761507E-01  7.7548007E+00
  1.9794815E-01  7.7631155E+00
  1.9828123E-01  7.7714262E+00
  1.9861430E-01  7.7797327E+00
  1.9894738E-01  7.7880351E+00
  1.9928046E-01  7.7963333E+00
  1.9961354E-01  7.8046273E+00
  1.9994662E-01  7.8129172E+00
  2.0027969E-01  7.8212030E+00
  2.0061277E-01  7.8294846E+00
  2.0094585E-01  7.8377621E+00
  2.0127893E-01  7.8460355E+00
  2.0161200E-01  7.8543047E+00
  2.0194508E-01  7.8625699E+00
  2.0227816E-01  7.8708309E+00
  2.0261124E-01  7.8790878E+00
  2.0294431E-01  7.8873406E+00
  2.0327739E-01  7.8955893E+00
  2.0361047E-01  7.9038339E+00
  2.0394355E-01  7.9120744E+00
  2.0427663E-01  7.9203108E+00
  2.0460970E-01  7.9285431E+00
  2.0494278E-01  7.9367714E+00
  2.0527586E-01  7.9449956E+00
  2.0560894E-01  7.9532157E+00
  2.0594201E-01  7.9614318E+00
  2.0627509E-01  7.9696438E+00
  2.0660817E-01  7.9778517E+00
  2.0694125E-01  7.9860556E+00
  2.0727432E-01  7.9942554E+00
  2.0760740E-01  8.0024512E+00
  2.0794048E-01  8.0106430E+00
  2.0827356E-01  8.0188307E+00
  2.0860664E-01  8.0270144E+00
  2.0893971E-01  8.0351941E+00
  2.0927279E-01  8.0433698E+00
  2.0960587E-01  8.0515414E+00
  2.0993895E-01  8.0597091E+00
  2.1027202E-01  8.0678727E+00
  2.1060510E-01  8.0760323E+00
  2.1093818E-01  8.0841880E+00
  2.1127126E-01  8.0923396E+00
  2.1160433E-01  8.1004872E+00
  2.1193741E-01  8.1086309E+00
  2.1227049E-01  8.1167706E+00
  2.1260357E-01  8.1249063E+00
  2.1293665E-01  8.1330380E+00
  2.1326972E-01  8.1411658E+00
  2.1360280E-01  8.1492896E+00
  2.1393588E-01  8.1574095E+00
  2.1426896E-01  8.1655254E+00
  2.1460203E-01  8.1736374E+00
  2.1493511E-01  8.1817454E+00
  2.1526819E-01  8.1898494E+00
  2.1560127E-01  8.1979496E+00
  2.1593434E-01  8.2060458E+00
  2.1626742E-01  8.2141381E+00
  2.1660050E-01  8.2222264E+00
  2.1693358E-01  8.2303109E+00
  2.1726666E-01  8.2383914E+00
  2.1759973E-01  8.2464680E+00
  2.1793281E-01  8.2545408E+00
  2.1826589E-01  8.2626096E+00
  2.1859897E-01  8.2706745E+00
  2.1893204E-01  8.2787356E+00
  2.1926512E-01  8.2867927E+00
  2.1959820E-01  8.2948460E+00
  2.1993128E-01  8.3028954E+00
  2.2026435E-01  8.3109409E+00
  2.2059743E-01  8.3189825E+00
  2.2093051E-01  8.3270203E+00
  2.2126359E-01  8.3350542E+00
  2.2159667E-01  8.3430843E+00
  2.2192974E-01  8.3511105E+00
  2.2226282E-01  8.3591329E+00
  2.2259590E-01  8.3671514E+00
  2.2292898E-01  8.3751661E+00
  2.2326205E-01  8.3831770E+00
  2.2359513E-01  8.3911840E+00
  2.2392821E-01  8.3991872E+00
  2.2426129E-01  8.4071866E+00
  2.2459436E-01  8.4151821E+00
  2.2492744E-01  8.4231739E+00
  2.2526052E-01  8.4311618E+00
  2.2559360E-01  8.4391460E+00
  2.2592668E-01  8.4471263E+00
